regionCNC;N° auto;nom;region administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unite urbaine;population unite urbaine;situation geographique;ecrans;fauteuils;semaines d'activite;seances;entrees 2022;entrees 2021;evolution entrees;tranche d'entrees;programmateur;AE;categorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmes;nombre de films inedits;nombre de films en semaine 1;PdM en entrees des films français;PdM en entrees des films americains;PdM en entrees des films europeens;PdM en entrees des autres films;films Art et Essai;PdM en entrees des films Art et Essai;latitude;longitude;geolocalisation
7;213542;SALLE SEVIGNE;PROVENCE-ALPES-COTE D'AZUR;SALLE SEVIGNE;13050;Lambesc;10273.0;13;13213;Lambesc;10273.0;06-autres communes et unites urbaines;1.0;137.0;53.0;1138.0;28792.0;11579.0;148.65705155885655;De 20 à 30 000 entrees;;NON;NON;;ITINERANT;NON;I;141.0;94.0;1.0;60.68643999678483;24.049513704686117;11.06422313318865;4.199823165340407;41.0;24.45141065830721;43.653486;5.262357;43.653486, 5.262357
7;249451;BONNEVEINE;PROVENCE-ALPES-COTE D'AZUR;AVENUE DE HAMBOURG;13055;Marseille;876602.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;5.0;806.0;53.0;6901.0;86447.0;57628.0;50.0086763378913;De 80 à 100 000 entrees;;NON;NON;;FIXE;NON;C;114.0;84.0;76.0;39.61267399866762;45.20868152546137;11.338109652762357;3.8405348231086593;28.0;6.8991713514334805;43.249625;5.389984;43.249625, 5.389984
7;249791;LES VARIETES;PROVENCE-ALPES-COTE D'AZUR;35 37 RUE VINCENT SCOTTO;13055;Marseille;876602.0;13;759;Marseille - Aix-en-Provence;1630325.0;04-Unites urbaines de 100 000 hbts ou plus;7.0;565.0;53.0;11860.0;162440.0;98569.0;64.79826314561372;De 150 à 200 000 entrees;;OUI;A;RDJPPR;FIXE;NON;C;476.0;261.0;230.0;67.08458048606013;10.577110119663912;12.062398423724453;10.275910970551507;389.0;92.6563882457032;43.297447;5.379767;43.297447, 5.379767
7;308231;LE LUBERON;PROVENCE-ALPES-COTE D'AZUR;31 RUE GIRAUD;84089;Pertuis;20767.0;84;84303;Pertuis;20767.0;05-Unites urbaines de 20 000 à 100 000 hbts;3.0;363.0;53.0;4565.0;64024.0;36236.0;76.68616845126395;De 50 à 80 000 entrees;;OUI;E;RDJP;FIXE;NON;I;255.0;193.0;130.0;43.194464605409586;43.38800987080854;9.459524846373446;3.958000677408429;126.0;15.941678360026451;43.692404;5.499464;43.692404, 5.499464
7;327092;SALLE POLYVALENTE;PROVENCE-ALPES-COTE D'AZUR;SALLE POLYVALENTE;83100;Puget-Ville;4456.0;83;83111;Puget-Ville;4456.0;06-autres communes et unites urbaines;1.0;100.0;18.0;29.0;2724.0;1407.0;93.60341151385927;De 2 à 5 000 entrees;;NON;NON;;ITINERANT;NON;I;17.0;8.0;1.0;29.038179148311304;47.61380323054332;10.168869309838472;13.179148311306902;8.0;52.38619676945668;43.288803;6.130491;43.288803, 6.130491
7;364945;CINEMA LE RIO;PROVENCE-ALPES-COTE D'AZUR;AVENUE DES AIGUIERS;83130;Solliès-Pont;12158.0;83;757;Toulon;598427.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;178.0;47.0;313.0;11029.0;5313.0;107.58516845473368;De 10 à 20 000 entrees;;NON;NON;;FIXE;NON;B;84.0;72.0;2.0;69.92906441717791;15.193634969325153;13.870782208588958;1.0065184049079754;20.0;24.92331288343558;43.190268;6.038903;43.190268, 6.038903
7;442861;LE MELEZE;PROVENCE-ALPES-COTE D'AZUR;COURS G.ROHNER;5177;Vars;565.0;5;0;Zone rurale;14908533.0;04-Unites urbaines de 100 000 hbts ou plus;2.0;188.0;27.0;755.0;5900.0;2477.0;138.19136051675414;De 5 à 10 000 entrees;;NON;NON;;FIXE;NON;R;65.0;53.0;21.0;46.71186440677966;41.71186440677966;6.627118644067796;4.949152542372881;12.0;5.508474576271186;44.569752;6.68318;44.569752, 6.68318
7;701400;SUPERDEVOLUY REX;PROVENCE-ALPES-COTE D'AZUR;LE BOIS D'AUROUZE;5139;Devoluy;930.0;5;0;Zone rurale;14908533.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;145.0;24.0;205.0;1018.0;662.0;53.776435045317214;Moins de 2000 entrees;;NON;NON;;ITINERANT;NON;R;49.0;37.0;1.0;68.56581532416503;26.031434184675835;5.402750491159136;0.0;2.0;3.6345776031434185;44.6771389;5.926679000000036;44.6771389, 5.926679000000036
7;701401;LA TANIERE;PROVENCE-ALPES-COTE D'AZUR;LES ARCADES;5139;Devoluy;930.0;5;0;Zone rurale;14908533.0;04-Unites urbaines de 100 000 hbts ou plus;1.0;89.0;27.0;258.0;1334.0;415.0;221.44578313253015;Moins de 2000 entrees;;NON;NON;;FIXE;NON;R;61.0;49.0;1.0;58.245877061469265;40.85457271364318;0.8995502248875562;0.0;4.0;3.223388305847077;44.72169;5.924351;44.72169, 5.924351
7;725480;CINEMEDITERRANEE;PROVENCE-ALPES-COTE D'AZUR;SALLE DES FETES;83127;Signes;3038.0;83;83107;Signes;3038.0;06-autres communes et unites urbaines;1.0;200.0;7.0;21.0;671.0;;;Moins de 2000 entrees;;NON;NON;;ITINERANT;NON;I;13.0;13.0;0.0;84.52830188679246;15.471698113207546;0.0;0.0;4.0;5.283018867924529;47.765783;-0.325149;47.765783, -0.325149
